"id","x","y","AnnualPrecip","AnPET","AridityIndex"
1,3382077.1431,-119802.740400001,835.667146434531,1485.49766866711,0.562359453227434
2,3392077.1431,-119802.740400001,829.570781700344,1485.33682090924,0.558409244575509
3,3382077.1431,-129802.740400001,841.873399592569,1472.34086895042,0.571617312471209
4,3392077.1431,-129802.740400001,840.773960333408,1462.58667255377,0.574809555458374
5,3372077.1431,-139802.740400001,899.143995036165,1451.96223242755,0.619133658891786
6,3382077.1431,-139802.740400001,857.901940522404,1467.06578947328,0.584593416237683
7,3392077.1431,-139802.740400001,847.433925630711,1461.5910667611,0.579650003321933
8,3312077.1431,-149802.740400001,1264.7689900946,1171.2090639356,1.07952968971607
9,3322077.1431,-149802.740400001,1207.12412660132,1130.06483928137,1.06798456133133
10,3362077.1431,-149802.740400001,933.344193591514,1407.03785588152,0.66370780026413
11,3372077.1431,-149802.740400001,899.160774232328,1460.93197809917,0.615353678558667
12,3382077.1431,-149802.740400001,871.476920644621,1462.89393500579,0.595513043147978
13,3392077.1431,-149802.740400001,860.466253158026,1464.25233486413,0.587434906945077
14,3402077.1431,-149802.740400001,860.046918229339,1468.95157541532,0.585300182393812
15,3292077.1431,-159802.740400001,1473.56031232446,1067.56286825231,1.38534311064223
16,3302077.1431,-159802.740400001,1428.29814095935,1099.73002827284,1.31123689246565
17,3312077.1431,-159802.740400001,1268.92712666818,1178.29994348484,1.07706699925525
18,3322077.1431,-159802.740400001,1215.1558187072,1151.56948781454,1.05536731798075
19,3342077.1431,-159802.740400001,1066.16349403981,1190.51786647779,0.895667122309085
20,3352077.1431,-159802.740400001,1030.76203980005,1247.99516071863,0.828266902208734
21,3362077.1431,-159802.740400001,942.010109383415,1408.22477216231,0.669310471534996
22,3372077.1431,-159802.740400001,906.633548509074,1455.79000353124,0.622581117170017
23,3382077.1431,-159802.740400001,881.234938173839,1467.71981278559,0.600239276021643
24,3392077.1431,-159802.740400001,870.987818973936,1465.18103850098,0.594279925491857
25,3402077.1431,-159802.740400001,880.478047179103,1471.56771811978,0.598136197643618
26,3412077.1431,-159802.740400001,856.601965341791,1468.24635817644,0.58326486393609
27,3272077.1431,-169802.740400001,1597.04991257621,1034.31920523367,1.55611488345414
28,3282077.1431,-169802.740400001,1705.23217486144,925.54260686653,1.85720383424589
29,3292077.1431,-169802.740400001,1413.62151331761,1152.0768527006,1.23163062035823
30,3302077.1431,-169802.740400001,1343.24324057054,1254.49534793558,1.07053035192354
31,3312077.1431,-169802.740400001,1288.65639438418,1200.21629106501,1.07383703748201
32,3322077.1431,-169802.740400001,1189.21306464179,1163.56137760718,1.02185697034844
33,3332077.1431,-169802.740400001,1159.4758832821,1164.92430236957,0.995677141429675
34,3342077.1431,-169802.740400001,1108.63206198191,1185.71926174628,0.935442632986185
35,3352077.1431,-169802.740400001,1048.07039952594,1227.47862592914,0.854581913541133
36,3362077.1431,-169802.740400001,978.050513739715,1374.51688448942,0.712729591797011
37,3372077.1431,-169802.740400001,928.369347449619,1443.80030377851,0.642827951065543
38,3382077.1431,-169802.740400001,917.488960222256,1452.42851642499,0.631571341833385
39,3392077.1431,-169802.740400001,891.502091854099,1451.6095019446,0.613983174774883
40,3402077.1431,-169802.740400001,886.618521163208,1460.68714588538,0.606828936887489
41,3412077.1431,-169802.740400001,871.736307849673,1458.1841257489,0.598078795328847
42,3422077.1431,-169802.740400001,868.274466604965,1477.29806075723,0.587532308745486
43,3262077.1431,-179802.740400001,1524.06551296135,1193.19202755692,1.27920338805207
44,3272077.1431,-179802.740400001,1496.75087856278,1097.07982691566,1.36411628914495
45,3282077.1431,-179802.740400001,1474.88480419347,1074.42542564329,1.37351567749513
46,3292077.1431,-179802.740400001,1355.1047567477,1135.18153656147,1.19496602075272
47,3302077.1431,-179802.740400001,1319.84603197626,1276.71269516288,1.03356957130227
48,3312077.1431,-179802.740400001,1260.35279887391,1220.67858707529,1.03265254064175
49,3322077.1431,-179802.740400001,1211.77510927219,1189.08796185952,1.02033318747304
50,3332077.1431,-179802.740400001,1144.11656592718,1198.13813140753,0.95549947773616
51,3342077.1431,-179802.740400001,1099.31258560481,1202.60682091941,0.914824976032427
52,3352077.1431,-179802.740400001,1052.06178413788,1250.03218297996,0.842614940621325
53,3362077.1431,-179802.740400001,994.608521163286,1334.43679971669,0.746058960748603
54,3372077.1431,-179802.740400001,938.439029850079,1431.23572235677,0.655665048360481
55,3382077.1431,-179802.740400001,904.553183685938,1449.0172907096,0.624121442442172
56,3392077.1431,-179802.740400001,899.570171320655,1471.22403744237,0.611243497528722
57,3402077.1431,-179802.740400001,899.955449275836,1466.10044507149,0.613642659329449
58,3412077.1431,-179802.740400001,899.321034724945,1440.62726245456,0.62437876346016
59,3422077.1431,-179802.740400001,886.056925475081,1491.5613917347,0.593820106414325
60,3432077.1431,-179802.740400001,907.463533572875,1472.11797951319,0.616211842909039
61,3262077.1431,-189802.740400001,1403.14587339851,1244.83734369351,1.12866409153629
62,3272077.1431,-189802.740400001,1523.0463150952,1090.7094454269,1.39977617021599
63,3282077.1431,-189802.740400001,1513.89910913873,1060.29845990983,1.42895639092446
64,3292077.1431,-189802.740400001,1341.03575918525,1157.1475556368,1.16065178449678
65,3302077.1431,-189802.740400001,1269.79519097618,1300.51817732387,0.977079821496684
66,3312077.1431,-189802.740400001,1236.10007182071,1261.16275168313,0.980826030070741
67,3322077.1431,-189802.740400001,1226.40507170951,1282.64464500447,0.955888454211116
68,3332077.1431,-189802.740400001,1173.35522567887,1255.50780290015,0.934474836990919
