"id","x","y","AnnualPrecip","AnPET","AridityIndex"
1,-1677922.8569,1550197.2596,656.956444245233,2394.61112327372,0.274262534124102
2,-1667922.8569,1550197.2596,673.541781722543,2385.50619568837,0.282253764073516
3,-1657922.8569,1550197.2596,693.281357377281,2399.8584563735,0.288775957211896
4,-1717922.8569,1540197.2596,655.558843815577,2423.01127516806,0.270459756359606
5,-1707922.8569,1540197.2596,651.226960400113,2402.09212645464,0.27102686060439
6,-1697922.8569,1540197.2596,651.274841311392,2390.38222182619,0.272376962559199
7,-1687922.8569,1540197.2596,656.658176328989,2364.10172377079,0.277702863585811
8,-1677922.8569,1540197.2596,671.213764415657,2348.89226421891,0.28567820522029
9,-1667922.8569,1540197.2596,688.931389664754,2361.1634758017,0.291700920416552
10,-1657922.8569,1540197.2596,703.73512662345,2373.74588837608,0.296384766274054
11,-1647922.8569,1540197.2596,716.834042259682,2404.04242317066,0.298081141180121
12,-1717922.8569,1530197.2596,681.494039844466,2425.18686329687,0.280912290372924
13,-1707922.8569,1530197.2596,670.092221003957,2374.63744966134,0.282146857759536
14,-1697922.8569,1530197.2596,673.231962926509,2352.33306605536,0.286114946826424
15,-1687922.8569,1530197.2596,683.819603111714,2345.97725892078,0.291409657281776
16,-1677922.8569,1530197.2596,697.786801600311,2362.94430589827,0.295180266664392
17,-1667922.8569,1530197.2596,704.912121726278,2340.61110914874,0.301063583132032
18,-1657922.8569,1530197.2596,717.209786730899,2345.64714941662,0.305653449164581
19,-1647922.8569,1530197.2596,730.698503811825,2388.44843164717,0.305827537724882
20,-1627922.8569,1530197.2596,744.300114213758,2385.6163405126,0.311898126356533
21,-1617922.8569,1530197.2596,751.456612928317,2380.90990109212,0.315507795346896
22,-1837922.8569,1520197.2596,814.392535701625,2331.46921303623,0.349201908396666
23,-1827922.8569,1520197.2596,815.56990094468,2376.86393853449,0.343088859029794
24,-1817922.8569,1520197.2596,787.111985330728,2406.11345814039,0.327039452827459
25,-1807922.8569,1520197.2596,771.243595732629,2413.23450179238,0.319520677000701
26,-1797922.8569,1520197.2596,777.632324572871,2406.04520663752,0.323194406498578
27,-1787922.8569,1520197.2596,766.277792343093,2426.18498674894,0.315746889149254
28,-1777922.8569,1520197.2596,752.454600463049,2440.4180957748,0.308296149378817
29,-1767922.8569,1520197.2596,732.12341506541,2444.10359903847,0.299540602819731
30,-1757922.8569,1520197.2596,712.285679646557,2426.67338345911,0.293493884581885
31,-1747922.8569,1520197.2596,705.405521010851,2453.55644648162,0.287440348550075
32,-1737922.8569,1520197.2596,702.218876629635,2447.40853270181,0.286905746365207
