"id","x","y","AnnualPrecip","AnPET","AridityIndex"
1,-957922.856899999,3150197.2596,33.6856798962762,3366.30027552093,0.00996376386101041
2,-957922.856899999,3140197.2596,32.8624689757355,3365.51564464906,0.00971826031741042
3,-947922.856899999,3140197.2596,32.4754466382632,3388.76622748228,0.00953118378937399
4,-937922.856899999,3140197.2596,30.33249379515,3428.47929000386,0.00879874812616506
5,-957922.856899999,3130197.2596,31.6037617781048,3372.34234899674,0.00932221618625069
6,-947922.856899999,3130197.2596,30.3728858529366,3397.82961497746,0.00888559567969028
7,-937922.856899999,3130197.2596,30.0731861011293,3431.44493465038,0.00872212696557091
8,-927922.856899999,3130197.2596,29.9924937951469,3476.98646414681,0.00857213879682093
9,-917922.856899999,3130197.2596,29.7834863493233,3520.20363122474,0.00841203706615548
10,-957922.856899999,3120197.2596,30.0754714576762,3411.94795832573,0.00876405689362972
11,-947922.856899999,3120197.2596,29.7941786553055,3404.81643942811,0.00869751889342115
12,-937922.856899999,3120197.2596,29.507781633635,3415.07855528647,0.00858604108968841
13,-927922.856899999,3120197.2596,29.7214764215576,3475.08339102642,0.00850509451432317
14,-917922.856899999,3120197.2596,29.2109677347642,3508.36833627307,0.00827577329698633
15,-907922.856899999,3120197.2596,28.093595510274,3535.01233133289,0.00789664000404605
16,-957922.856899999,3110197.2596,28.9263722022583,3490.55076651893,0.00823518852029048
17,-947922.856899999,3110197.2596,28.9236699685106,3486.97367362001,0.00824650711313567
18,-937922.856899999,3110197.2596,28.7524689757343,3478.10015542813,0.00821677733518072
19,-927922.856899999,3110197.2596,28.7609677347634,3459.57624161234,0.00826944965711563
20,-917922.856899999,3110197.2596,27.8866476310404,3467.06484987764,0.0079906941746878
21,-907922.856899999,3110197.2596,23.9949875902994,3548.90803956468,0.00671584485934388
22,-897922.856899999,3110197.2596,23.039099255419,3615.98193924532,0.00631360968124827
23,-887922.856899999,3110197.2596,23.0678982626411,3632.96403744492,0.00630738787210478
24,-957922.856899999,3100197.2596,27.8159801444707,3546.25299540252,0.00778629755226582
25,-947922.856899999,3100197.2596,27.7406923059822,3553.96276933172,0.00774960280349065
26,-937922.856899999,3100197.2596,27.5201836191879,3540.89173083073,0.00772400913489374
27,-927922.856899999,3100197.2596,27.46216872754,3477.03481102124,0.00785244044509174
28,-917922.856899999,3100197.2596,25.8228858529372,3481.33164606308,0.00736135532292717
29,-907922.856899999,3100197.2596,23.5262134024863,3576.73012009535,0.00652405572727964
30,-897922.856899999,3100197.2596,23.0187071976305,3627.60831507798,0.00630598412042086
31,-887922.856899999,3100197.2596,23,3656.36697986098,0.00622591253692848
32,-877922.856899999,3100197.2596,23,3676.00143411726,0.00620273242767373
33,-957922.856899999,3090197.2596,27.0279900722366,3488.73964324012,0.00769248464078665
34,-947922.856899999,3090197.2596,27.391660040745,3472.15476157366,0.00784828543154576
35,-937922.856899999,3090197.2596,26.8295583033874,3473.18879901603,0.00767380492180834
36,-927922.856899999,3090197.2596,26.1715434117399,3483.08699753245,0.00745600100399247
37,-917922.856899999,3090197.2596,25.2252630190764,3500.47505475589,0.00716290672706584
38,-907922.856899999,3090197.2596,24.0421935469545,3539.50870364194,0.00674752624099802
39,-897922.856899999,3090197.2596,23.2897915614008,3575.02293536374,0.00646120513799688
40,-887922.856899999,3090197.2596,22.9969975180592,3606.01007771533,0.00631681735240401
41,-877922.856899999,3090197.2596,22.9987990072235,3622.84484987764,0.00629033947906446
42,-867922.856899999,3090197.2596,22.997598014447,3675.60608265297,0.00619798175660845
43,-857922.856899999,3090197.2596,22.7051042193006,3715.07226774507,0.00606702335502278
44,-957922.856899999,3080197.2596,26.6063722022586,3536.26427410436,0.00747509433259892
45,-947922.856899999,3080197.2596,25.7909677347647,3528.81954786094,0.00726600188658794
46,-937922.856899999,3080197.2596,25.1681736914234,3527.6112221816,0.0070783437350682
47,-927922.856899999,3080197.2596,23.9377816336364,3537.00865771542,0.00670882652167905
48,-917922.856899999,3080197.2596,23.7637865975174,3552.65380430654,0.00664020754543906
49,-907922.856899999,3080197.2596,23.7779900722349,3577.3595478584,0.00660215917154287
50,-897922.856899999,3080197.2596,22.971409431378,3629.31624160471,0.00628060547947187
51,-887922.856899999,3080197.2596,22.9081067012415,3649.8899893961,0.0062203653528924
52,-877922.856899999,3080197.2596,22.9503920577879,3635.64133521446,0.00626746877698829
53,-867922.856899999,3080197.2596,22.9097915613997,3639.01560225888,0.00625947795418257
54,-857922.856899999,3080197.2596,22.8534863493231,3662.30918756473,0.00619378744679614
55,-847922.856899999,3080197.2596,21.4433027301375,3713.90936064653,0.00572673224534774
56,-957922.856899999,3070197.2596,25.5281067012424,3493.97231366396,0.00725866551357484
57,-947922.856899999,3070197.2596,24.5387071976312,3505.64435181461,0.00694891492294408
58,-937922.856899999,3070197.2596,24.1252878384884,3512.09252560724,0.00682781744379659
59,-927922.856899999,3070197.2596,23.2196997518072,3507.39609325179,0.0065749908405417
60,-917922.856899999,3070197.2596,23.2381985108352,3520.51133521446,0.00655099081779646
61,-907922.856899999,3070197.2596,23.393002481941,3527.50619568837,0.00657719180011727
62,-897922.856899999,3070197.2596,23.3505086867945,3562.80139879465,0.00650006490665004
63,-887922.856899999,3070197.2596,23.1687990072238,3574.01523842888,0.00642684058510903
64,-877922.856899999,3070197.2596,22.6306923059829,3605.02389261561,0.00621688906098472
65,-867922.856899999,3070197.2596,22.5667890794585,3619.68516072118,0.00617412682471116
66,-857922.856899999,3070197.2596,22.2899751805877,3647.53936065416,0.00607868069256763
