"id","x","y","AnnualPrecip","AnPET","AridityIndex"
1,-87922.8568999991,1690197.2596,310.257620418623,3118.80917343467,0.0994167632316649
2,-77922.8568999991,1690197.2596,307.453233324717,3111.47439420479,0.0987542373967718
3,-67922.8568999991,1690197.2596,305.76699510282,3091.20908512815,0.0988472721672507
4,-57922.8568999991,1690197.2596,303.397295351015,3090.40029318223,0.0981089785533643
5,-47922.8568999991,1690197.2596,300.717044741647,3096.64680324793,0.0970458978415517
6,-37922.8568999991,1690197.2596,297.98217378036,3094.87464499939,0.0962185825164674
7,-27922.8568999991,1690197.2596,298.511699796272,3094.62738608115,0.0963981877245059
8,-17922.8568999991,1690197.2596,295.106687386571,3111.24107028981,0.0947925996804241
9,-7922.85689999908,1690197.2596,294.38996529729,3110.01734015973,0.09460613708072
10,-97922.8568999991,1680197.2596,325.582057151353,3094.38954079337,0.105152694777877
11,-87922.8568999991,1680197.2596,323.194042259705,3093.08215471221,0.104429864173585
12,-77922.8568999991,1680197.2596,320.894342507899,3086.80745672637,0.103902887006859
13,-67922.8568999991,1680197.2596,317.765384700902,3082.01376898393,0.103039957062044
14,-57922.8568999991,1680197.2596,315.377461618847,3085.52363475598,0.102150766472547
15,-47922.8568999991,1680197.2596,314.591131587355,3076.52437654349,0.102202315576957
16,-37922.8568999991,1680197.2596,312.892349931489,3068.65666901998,0.101910436318076
17,-27922.8568999991,1680197.2596,306.740047223593,3078.08494878044,0.0995878510151725
18,-17922.8568999991,1680197.2596,302.991464123024,3074.06471917839,0.0985074501280058
19,-7922.85689999908,1680197.2596,301.291064597176,3079.54255033357,0.0977802562064019
20,2077.14310000092,1680197.2596,298.49105712912,3089.29477569609,0.0965573668395849
21,12077.1431000009,1680197.2596,295.052325112079,3092.10592723248,0.0953554681700217
22,22077.1431000009,1680197.2596,293.89682136693,3096.39236312171,0.094854386318757
23,-107922.856899999,1670197.2596,343.147337521785,3031.92853761754,0.113152835781906
24,-97922.8568999991,1670197.2596,339.855560852033,3040.24612150937,0.111738931208102
25,-87922.8568999991,1670197.2596,336.957620418623,3054.77859413269,0.110251972476858
26,-77922.8568999991,1670197.2596,334.706952932052,3056.77868244176,0.109434402047038
27,-67922.8568999991,1670197.2596,333.209538536792,3056.64869657182,0.108945849540286
28,-57922.8568999991,1670197.2596,329.93665268386,3062.34897562399,0.107682275316082
29,-47922.8568999991,1670197.2596,327.905794110044,3054.96795831556,0.107276876903839
30,-37922.8568999991,1670197.2596,323.056627864449,3051.24678558663,0.105819931795832
31,-27922.8568999991,1670197.2596,320.649880955756,3067.90032850484,0.104454380978782
32,-17922.8568999991,1670197.2596,321.359990116701,3051.64900388666,0.10523963212371
33,-7922.85689999908,1670197.2596,315.762483911857,3058.34450017771,0.103179229592646
34,2077.14310000092,1670197.2596,308.797012454183,3072.5172907096,0.100437092484987
35,12077.1431000009,1670197.2596,304.153851172464,3073.54558813136,0.09889423180649
36,22077.1431000009,1670197.2596,298.927337521788,3086.5961850921,0.0967854404860342
37,-127922.856899999,1660197.2596,355.096335084308,3008.0908406903,0.118022306613082
38,-117922.856899999,1660197.2596,351.967327638486,3026.50049099037,0.116239956095866
39,-107922.856899999,1660197.2596,352.956335084304,3012.99074178496,0.117102290857203
40,-97922.8568999991,1660197.2596,350.536702322684,3013.44054397683,0.116266949264959
41,-87922.8568999991,1660197.2596,349.918362363427,3015.13144471862,0.115992585436269
42,-77922.8568999991,1660197.2596,348.976794132276,3027.86286824214,0.115192345381356
43,-67922.8568999991,1660197.2596,346.858846230811,3036.652596255,0.114160601676838
44,-57922.8568999991,1660197.2596,344.13073952957,3029.30531967292,0.113541415589191
45,-47922.8568999991,1660197.2596,339.817945486232,3021.23901448039,0.112413976777924
46,-37922.8568999991,1660197.2596,336.290647719978,3034.53902861045,0.110754888116082
47,-27922.8568999991,1660197.2596,332.075268071897,3056.55222535998,0.10857980147373
48,-17922.8568999991,1660197.2596,329.107062093003,3063.22471564715,0.107378985695757
49,-7922.85689999908,1660197.2596,323.278471524384,3069.98188625886,0.10523696233036
50,2077.14310000092,1660197.2596,317.543766830929,3067.97238784805,0.10343669680447
51,12077.1431000009,1660197.2596,314.336603045034,3072.31677145657,0.102246010181036
52,22077.1431000009,1660197.2596,308.595818929462,3069.08928646753,0.100490369439003
53,-147922.856899999,1650197.2596,368.931714732386,3014.37984810566,0.12233570122894
54,-137922.856899999,1650197.2596,370.972248238591,3007.82650299812,0.123276501209261
55,-127922.856899999,1650197.2596,372.347104263765,2985.84825150033,0.124653599182254
56,-117922.856899999,1650197.2596,369.106952932054,3002.1635323194,0.122893173086657
57,-107922.856899999,1650197.2596,370.324201059475,2986.57220769867,0.123946542044956
58,-97922.8568999991,1650197.2596,366.675843748872,3006.86752737413,0.121882569503239
59,-87922.8568999991,1650197.2596,364.407270531602,3009.02558813136,0.12103153003746
60,-77922.8568999991,1650197.2596,364.717779218393,3003.19829742176,0.121384188220305
61,-67922.8568999991,1650197.2596,360.819955413996,3028.43211232712,0.119080264409702
62,-57922.8568999991,1650197.2596,357.78161545474,3006.74687036445,0.118970066333009
63,-47922.8568999991,1650197.2596,353.785985197292,2998.32224302382,0.117929216462544
64,-37922.8568999991,1650197.2596,350.361598103385,3019.09237724923,0.115985890779584
65,-27922.8568999991,1650197.2596,346.938595621444,3033.2350618133,0.114318375298402
66,-17922.8568999991,1650197.2596,339.857419448086,3051.54726951451,0.111312093234928
67,-7922.85689999908,1650197.2596,334.391414484201,3064.90839632456,0.109040633948605
