"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water"
"GMB","GM",4914,47646,47646,17067,-15.6493172,13.5880793,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5951,NA,NA,NA,NA,202.205708718678,295,295,295,191,36.67952110139,31.734995513222,19.2951059269103,4.94452665036273,5.42007723918323,96.0537968560063,7.08228219740155,0.0433387996157138,88.9715179888718,3.90286502566047
"GMB","GM",4913,47639,47639,16897,-15.83048333,13.292865,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5897,NA,NA,NA,NA,0,299,299,299,193,NA,NA,NA,NA,NA,75.661967132519,11.7324640149287,0.95146859482994,63.9295029135317,23.3865654697023
"GMB","GM",4914,47644,47644,16968,-16.0801839,13.5762608,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5930,NA,NA,NA,NA,0,301,301,301,194,17.3340998392916,16.4195972827514,10.9928981641819,0.91450196013622,4.70330664501413,92.8954112747151,14.7575796756891,0.0215585117230894,78.1378336838321,7.08302926255927
"GMB","GM",4915,47653,47653,17049,-14.02061,13.33473,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6014,NA,NA,NA,NA,0,303,303,303,195,NA,NA,NA,NA,NA,81.6679104811961,21.8779225337685,0.291761586646958,59.7899859274829,18.0403282177636
"GMB","GM",4911,47623,47623,16771,-14.636084,13.34641,1,NA,NA,2015,NA,NA,50,1,50,0,50,0,1,5738,0.02,0,0,0.0188679245283019,0,306,306,306,197,11.5045335267063,11.3957823071015,4.16321164965047,0.108751032615967,2.94389088406196,66.5459335272434,18.3756133604224,0.407492033283684,48.1703177898507,33.0465756933138
"GMB","GM",4911,47629,47629,17013,-15.006815,13.784355,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5781,NA,NA,NA,NA,0,308,308,308,198,23.2379875183105,21.3380794525146,20.3944873809814,1.89990890026093,6.36752414703369,77.8737611175875,25.0020971037005,0.311368174125964,52.871664391929,21.8148690831618
"GMB","GM",4915,47652,47652,52589,-14.476567,13.426539,3,NA,NA,2005,NA,NA,30,0,30,1,30,0,2,6008,0,0.0333333333333333,0,0.0314465408805031,233.393895167814,310,310,310,199,NA,NA,NA,NA,NA,68.2123265634739,19.0345501709304,0.0215960197268691,49.1777738928325,31.7660788296695
"GMB","GM",4912,47633,47633,16856,-16.6615529,13.4604792,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5828,NA,NA,NA,NA,513.779632072061,311,311,311,200,NA,NA,NA,NA,NA,100,17.7660544311905,2.3794846858995e-16,82.2339463631971,2.1293846165835e-14
"GMB","GM",4916,47664,47664,16938,-16.682188,13.366917,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6149,NA,NA,NA,NA,147.746332712042,312,312,312,201,NA,NA,NA,NA,NA,96.9461002286232,36.3777361921958,0.0691725537132848,60.5683649670426,2.98472618774189
"GMB","GM",4911,47623,47623,16773,-14.85553,13.49913667,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5733,NA,NA,NA,NA,0,314,314,314,203,NA,NA,NA,NA,NA,77.8080012635946,16.4886612449614,0.300829322273995,61.3193413987322,21.8911692116364
