"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water"
"GMB","GM",4915,47650,47650,"share n' jobo",16816,-14.44371167,13.29367167,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5985,NA,NA,NA,NA,0,351,351,344,230,26.565119457049,26.4981776071583,9.1821789674458,0.0669440900823835,9.43633468037492,49.1869230338383,14.6425592477244,0.239112306571138,34.5443620324105,50.5739667233729
"GMB","GM",4913,47637,47637,"sibito",52570,-15.7314496,13.3794498,1,NA,NA,2010,NA,NA,50,1,50,1,50,0,1,5884,0.02,0.02,0,0.0373584905660377,0,352,352,353,235,NA,NA,NA,NA,NA,83.5972570463974,28.7549768971876,0.0301182439287265,54.8422757947634,16.3726278300205
"GMB","GM",4913,47637,47637,"sibito",16877,-15.7314496,13.3794498,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5886,NA,NA,NA,NA,0,353,353,352,235,NA,NA,NA,NA,NA,88.6191852946597,19.5567087459229,0.254003733336309,69.0624788280301,11.1268089890686
"GMB","GM",4913,47637,47637,"sibito lower basic school",16878,-15.7314496,13.3794498,1,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5882,0,0,0,0,0,354,354,352,235,NA,NA,NA,NA,NA,88.6191852946597,19.5567087459229,0.254003733336309,69.0624788280301,11.1268089890686
"GMB","GM",4916,47664,47664,"sinchu baliya",16939,-16.67963667,13.39526167,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6137,NA,NA,NA,NA,0,355,355,356,236,NA,NA,NA,NA,NA,96.7131298281867,95.6030837444346,0.0415327584059691,1.11004887247537,3.24533453179537
"GMB","GM",4916,47664,47664,"sinchu baliya lower basic",16957,-16.67963667,13.39526167,3,NA,NA,2015,NA,NA,50,0,50,1,50,0,1,6132,0,0.02,0,0.0188679245283018,0,356,356,355,236,NA,NA,NA,NA,NA,96.7131298281867,95.6030837444346,0.0415327584059691,1.11004887247537,3.24533453179537
"GMB","GM",4911,47627,47627,"sinchu gundo",16998,-15.03328167,13.61319167,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5753,NA,NA,NA,NA,0,357,357,358,237,NA,NA,NA,NA,NA,84.6645841694689,16.0098849674272,1.29863116608228,68.6547011394855,14.0367841249451
"GMB","GM",4911,47627,47627,"sinchu gundo lower basic school",16999,-15.03328167,13.61319167,3,NA,NA,2015,NA,NA,48,0,48,0,48,0,1,5763,0,0,0,0,0,358,358,357,237,NA,NA,NA,NA,NA,84.6645841694689,16.0098849674272,1.29863116608228,68.6547011394855,14.0367841249451
"GMB","GM",4914,47646,47646,"sinchu njabo",17070,-15.41209833,13.54538333,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5959,NA,NA,NA,NA,0,359,359,360,238,NA,NA,NA,NA,NA,81.8967896794206,16.8279141088635,0.812601292310971,65.0688750587916,17.2906093160754
"GMB","GM",4914,47643,47643,"sinchu njabo lower basic cycle",16808,-15.41209833,13.54538333,3,NA,NA,2015,NA,NA,49,0,49,0,49,0,1,5921,0,0,0,0,0,360,360,359,238,NA,NA,NA,NA,NA,81.8967896794206,16.8279141088635,0.812601292310971,65.0688750587916,17.2906093160754
"GMB","GM",4913,47634,47634,"sitta huma",52559,-15.397386,13.413016,3,NA,NA,2010,NA,NA,50,4,50,0,50,0,1,5863,0.08,0,0,0.0754716981132075,2625.77395696938,361,361,361,239,NA,NA,NA,NA,NA,74.3716675798138,24.3797528733916,0.0418133037923533,49.9919162099655,25.5865188756724
"GMB","GM",4911,47628,47628,"sofaniama",17006,-15.2872,13.54892,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5769,0,0,0,0,3808.04296254761,362,362,362,240,NA,NA,NA,NA,NA,75.9457966548393,31.3684254694719,0.296860201890411,44.5773699372887,23.75734515192
