"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation","x","y","longitude","latitude","AnnualPrecip","AnPET","AridityIndex","geometry"
"SEN","SN",4127,40196,40196,,1,,,2013,5,20,50,0,50,0,50,1,1,29566,0,0,0.02,0.0188679245283019,5858.52534817553,0,0,0,1,52.8321148846757,52.057329780064,41.3399987641248,0.774782711271397,5.82788891692745,61.9790716059608,35.2304842654427,0.55657241894192,26.7485891538497,37.4643545854006,51.3773727722168,21.9909323710742,-1524105.40508831,1805449.70103058,-13.6912718,16.0062771,143.762459092436,1570.53723066066,0.0457916683314265,c(-1524105.40508831, 1805449.70103058)
"SEN","SN",4119,,2067,,4,,,2013,5,20,50,0,50,2,50,0,1,29580,0,0.04,0,0.0377358490566038,1469.89316226136,2,2,2,3,97.8529877268384,79.1142835683771,2.12490674734712,18.7387052484191,0.0221028256272357,95.2546289069516,1.40019283082375,0.00989960019601594,93.8544387586624,4.73547174837608,7464.22766713677,9.33190737920045,-1926946.61952305,1663049.78728199,-17.310056,14.772972,205.34615384613,1095,0.0937211533578545,c(-1926946.61952305, 1663049.78728199)
"SEN","SN",4125,,24872,,4,,,2013,5,20,50,0,50,0,50,0,1,29611,0,0,0,0,9784.73747426284,3,3,3,4,41.8469534139355,40.9266566623046,48.239587111612,0.920296350330332,9.9134588441263,2.86675409159538,1.44116652941205,0.115421331868638,1.42558755426659,97.0178297098345,29.0869712262835,52.8530338688005,-1620870.5626412,1481644.56586826,-14.560528,13.191722,433.873265612181,1142.05487106891,0.189903754778352,c(-1620870.5626412, 1481644.56586826)
"SEN","SN",4121,40170,40170,,1,,,2013,5,20,50,0,50,0,50,0,1,29596,0,0,0,0,13379.1560895466,4,4,4,5,94.0416358544547,50.6548888703079,5.40226591569393,43.3867461745341,0.55609837099852,93.1520121758165,2.64553399290188,0.00741435509311901,90.506472137823,6.8405744231964,98.7705121547154,19.7028667392005,-1825896.79703342,1557395.61161577,-16.40231,13.8533368,346.916900172121,1201.20655281262,0.144397215694474,c(-1825896.79703342, 1557395.61161577)
"SEN","SN",4130,40205,40205,16232,1,,,2008,,,0,0,0,0,0,0,1,13509,,,,,73883.5275362724,5,5,5,6,40.496336061914,32.9622110605005,41.9059999472569,7.53412407684197,17.5976621385312,46.6542619983553,9.08591627868397,4.64879214720151,37.5683473833076,48.696945743231,46.5126377817829,26.9477320999185,-1362604.76876974,1659580.44530421,-12.2404869,14.7428345,,,,c(-1362604.76876974, 1659580.44530421)
"SEN","SN",4129,40183,40183,,3,,,2013,5,20,50,9,50,0,50,0,1,29625,0.18,0,0,0.169811320754717,10424.3823824431,7,7,7,7,46.098143283636,45.946816150709,12.7245602578017,0.151325386847528,41.1772983081434,3.75505010011267,3.43048939644222,0.129114551096456,0.324560604421528,96.1158365019869,59.6713144618443,36.5835963295996,-1738759.46186415,1416281.35033766,-15.619542,12.619389,549.462167631085,1059.76385905989,0.259159367430537,c(-1738759.46186415, 1416281.35033766)
"SEN","SN",4129,40183,40183,,1,,,2013,5,20,51,37,51,2,51,1,1,29622,0.725490196078431,0.0392156862745098,0.0196078431372549,0.699459199434237,59709.1424011826,8,8,8,8,51.9127418780552,49.7852745395305,27.0473701129323,2.12746845228229,21.0398873283774,55.9708982040635,28.4068403018074,0.402554395099375,27.5640605760807,43.6265464496415,35.1460565359933,44.1078510079962,-1624037.82479325,1404669.99781459,-14.58898,12.517582,,,,c(-1624037.82479325, 1404669.99781459)
"SEN","SN",4121,40170,40170,,3,,,2013,5,20,50,0,50,0,50,0,1,29597,0,0,0,0,10656.8232247438,9,9,9,9,54.7522166577715,54.3118167733487,42.0470078465305,0.440403164152996,3.20077332555053,91.433817213677,45.751569371957,0.0247717389147789,45.6822445563654,8.54141165535978,98.7705121547154,12.0227371999944,-1834042.8234112,1546782.22045549,-16.475487,13.76075,365.773908279339,1210.46057576819,0.15105727681355,c(-1834042.8234112, 1546782.22045549)
"SEN","SN",4129,40202,40202,,1,,,2013,5,20,50,8,50,2,50,0,1,29546,0.16,0.04,0,0.182641509433962,9226.26762521343,10,10,10,10,21.3669740047172,21.1383627081846,48.1275062465372,0.228611424014002,30.5055199762036,10.2766037060528,0.994569139671778,0.07994633831179,9.28203523153638,89.6434464466811,51.9390861424037,22.3406533536017,-1757006.95279498,1460604.33761161,-15.783462,13.007633,493.990601815192,1109.03163899551,0.222653403420003,c(-1757006.95279498, 1460604.33761161)
"SEN","SN",4119,,2067,,4,,,2013,5,20,50,0,50,0,50,0,1,29540,0,0,0,0,1555.32429789757,11,11,11,11,93.838139641621,65.210047692877,5.96124716293827,28.628098249255,0.20061014730549,94.801480690904,4.53071485846697,0.0267949245070332,90.2707664366,5.17172398143031,1255.52207463728,7.0743014335981,-1917414.88812388,1653923.06604127,-17.224431,14.693681,208.810521876671,1157.45480948573,0.090188585592854,c(-1917414.88812388, 1653923.06604127)
"SEN","SN",4129,40183,40183,,3,,,2013,5,20,50,26,50,0,50,0,1,29623,0.52,0,0,0.490566037735849,1583.68706370311,12,12,12,12,70.5776580669733,68.6603032767189,12.6146713572973,1.91735842030249,16.8076679854027,5.69466705087215,4.60004399823186,0.0576812613546679,1.09462293439802,94.2476546459485,94.5252578037807,20.2196799999943,-1768588.40997813,1410408.66354348,-15.8875,12.567903,583.3629331877,1043.9040957257,0.279357998440407,c(-1768588.40997813, 1410408.66354348)
"SEN","SN",4122,40174,40174,,1,,,2013,5,20,50,0,50,1,50,1,1,29599,0,0.02,0.02,0.0373584905660377,20493.890140133,13,13,13,13,64.5540752049028,59.2444454324981,32.595299957208,5.30963287215866,2.8506235206963,99.7398375050469,0.0563163789019428,0.000630420488988803,99.6835179635646,0.259534394750306,85.0644556928362,14.7515200000009,-1730080.27078522,1586288.86878538,-15.5415755,14.105202,295.441899559192,1217.02666548874,0.121334070826553,c(-1730080.27078522, 1586288.86878538)
"SEN","SN",4119,40157,40157,,1,,,2013,5,20,50,0,50,6,50,6,1,29590,0,0.12,0.12,0.212830188679245,1688.34538713419,19,19,19,16,96.6850788503126,55.6335006521142,3.1597352577292,41.0515768562923,0.155185475611007,97.440505895709,1.60544770987644,0.00773252384088201,95.8350599969231,2.55176136293306,19780.7558479553,4.89373080223843,-1938238.81300937,1659334.72302729,-17.4114955,14.7406998,189.25092170508,1065.23908650125,0.08881063447775,c(-1938238.81300937, 1659334.72302729)
"SEN","SN",4131,40221,40221,,1,,,2013,5,20,50,0,50,0,50,0,1,29572,0,0,0,0,9122.69931583916,20,20,20,17,42.0149184509187,41.8757130052888,55.2852908373617,0.139208803585557,2.69978887690951,99.2345853176474,0.380709999271852,0.00540643086745526,98.8538712468278,0.76000961314606,141.526279087612,34.1546690303996,-1874839.96963355,1701920.41101825,-16.841974,15.110346,202.071857388432,1255.5233380425,0.080433698614597,c(-1874839.96963355, 1701920.41101825)
