"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation","x","y","longitude","latitude","AnnualPrecip","AnPET","AridityIndex","geometry"
"STP","ST",4018,,39147,,4,,,2009,0,10,134,1,134,37,134,6,1,29900,0.00746268656716418,0.276119402985075,0.0447761194029851,0.295936015313004,1542.05644837472,5,5,5,1,,,,,,,,,,,185.366856009347,175.306228892829,739594.340367032,40941.1408338808,6.643889,0.367778,954.98874423811,676.220729140135,0.711421078094875,c(739594.340367032, 40941.1408338808)
"STP","ST",4018,,39143,,4,,,2009,0,10,214,1,214,22,214,14,1,29901,0.00467289719626168,0.102803738317757,0.0654205607476635,0.156053821383767,1896.35062249008,6,6,6,2,,,,,,,,,,,6559.33874104207,14,748314.330039341,39673.2978344997,6.722222,0.356389,,,,c(748314.330039341, 39673.2978344997)
"STP","ST",4018,39145,39145,109222,1,,,2014,8,0,51,7,51,2,51,45,1,1528,0.137254901960784,0.0392156862745098,0.882352941176471,0.8513971190966,10650.1586914089,20,20,20,3,,,,,,,,,,,21.9145148042951,34.7069670584408,740175.895650834,14848.4304834203,6.6491132,0.1333856,,,,c(740175.895650834, 14848.4304834203)
"STP","ST",4018,39144,39144,109211,1,,,2014,8,0,25,0,24,1,25,16,1,1522,0,0.0416666666666667,0.64,0.617924528301887,1464.75939181898,24,24,24,4,,,,,,,,,,,161.945259926932,164.833803879932,744695.133018568,26000.4756705367,6.6897102,0.2335656,1231.5405795222,619.406373062475,1.00383353271094,c(744695.133018568, 26000.4756705367)
"STP","ST",4018,39143,39143,109205,1,,,2014,6,0,50,4,50,34,50,28,1,1517,0.08,0.68,0.56,0.821192452830189,870.590228649525,29,29,29,5,,,,,,,,,,,4458.50886033142,40.7449428565208,747784.805485536,37852.3778938281,6.7174652,0.3400317,,,,c(747784.805485536, 37852.3778938281)
"STP","ST",4018,39144,39144,109213,1,,,2014,8,0,25,4,25,2,25,18,1,1523,0.16,0.08,0.72,0.73926037735849,2549.56429223393,33,33,33,6,,,,,,,,,,,161.945259926932,278.979720527942,742146.896290921,26082.7414599337,6.666819,0.2343046,1231.5405795222,619.406373062475,1.00383353271094,c(742146.896290921, 26082.7414599337)
"STP","ST",4018,39146,39146,109234,3,,,2014,10,0,50,1,50,4,50,29,1,1540,0.02,0.08,0.58,0.586158490566038,5599.06610482598,34,34,34,7,,,,,,,,,,,64.0249724775042,95.9476000000521,723576.690156278,35251.7226223648,6.5,0.31667,1392.61725713824,594.47514876926,1.18091284824272,c(723576.690156278, 35251.7226223648)
"STP","ST",4018,39148,39148,109261,1,,,2014,12,0,50,0,50,13,50,29,1,1561,0,0.26,0.58,0.650188679245283,1855.72891237434,42,42,42,8,,,,,,,,,,,363.601334881372,260.232001439927,742130.309686793,37106.3351817124,6.66667,0.33333,954.98874423811,676.220729140135,0.711421078094875,c(742130.309686793, 37106.3351817124)
"STP","ST",4018,39146,39146,109236,1,,,2014,10,0,50,0,50,8,50,31,1,1542,0,0.16,0.62,0.642264150943396,460.414349265802,47,47,47,9,,,,,,,,,,,64.0249724775042,22.9593401564324,729029.5195655,39632.4761883374,6.5489836,0.3560223,1207.16926615265,638.242399664255,0.956738578993065,c(729029.5195655, 39632.4761883374)
"STP","ST",4018,39146,39146,109237,1,,,2014,10,0,50,1,50,4,50,24,1,1543,0.02,0.08,0.48,0.501101886792453,1850.0260975325,49,49,49,10,,,,,,,,,,,64.0249724775042,152.157094247918,728536.752707554,37849.2831574902,6.544557,0.3400039,1207.16926615265,638.242399664255,0.956738578993065,c(728536.752707554, 37849.2831574902)
"STP","ST",4018,39143,39143,109207,1,,,2014,9,0,50,1,50,39,50,16,1,1519,0.02,0.78,0.32,0.80508679245283,0,51,51,14,11,,,,,,,,,,,6062.0125552189,46.7292841561626,747941.921814841,36996.0824977844,6.7188766,0.3323396,,,,c(747941.921814841, 36996.0824977844)
"STP","ST",4018,39144,39144,109215,1,,,2014,12,0,51,0,51,3,51,25,1,1524,0,0.0588235294117647,0.490196078431373,0.490740136232073,4845.31565847193,53,53,53,12,,,,,,,,,,,161.945259926932,65.7259851179211,750009.826071664,27523.2951852295,6.7374529,0.2472452,,,,c(750009.826071664, 27523.2951852295)
"STP","ST",4018,39143,39143,109208,1,,,2014,9,0,50,1,50,33,50,18,1,1520,0.02,0.66,0.36,0.742218867924528,2338.89947120301,56,56,56,13,,,,,,,,,,,3242.65660603602,22.3114743115083,749723.890827613,35481.1444878593,6.7348843,0.3187309,,,,c(749723.890827613, 35481.1444878593)
"STP","ST",4018,39147,39147,109247,3,,,2014,9,0,51,2,51,23,51,23,1,1552,0.0392156862745098,0.450980392156863,0.450980392156863,0.670186756196534,1855.72891237434,64,64,64,14,,,,,,,,,,,260.725997516857,188.478399999945,742130.309686793,38962.0640940867,6.66667,0.35,954.98874423811,676.220729140135,0.711421078094875,c(742130.309686793, 38962.0640940867)
