"Row.names","iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water"
"1","STP","ST",4018,39145,39145,"basica de angolares",109222,6.6491132,0.1333856,1,NA,NA,2014,8,0,51,7,NA,NA,51,2,NA,NA,51,45,NA,NA,1,1528,0.137254901960784,0.0392156862745098,0.882352941176471,0.8513971190966,10650.1586914089,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","STP","ST",4018,39144,39144,"basica de riboque santana",109215,6.7374529,0.2472452,1,NA,NA,2014,12,0,51,0,NA,NA,51,3,NA,NA,51,25,NA,NA,1,1524,0,0.0588235294117647,0.490196078431372,0.490740136232073,4845.31565847193,9,9,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","STP","ST",4018,39143,39143,"basica de s. marcal",109208,6.7348843,0.3187309,1,NA,NA,2014,9,0,50,1,NA,NA,50,33,NA,NA,50,18,NA,NA,1,1520,0.02,0.66,0.36,0.742218867924528,2338.89947120301,10,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","STP","ST",4018,39147,39147,"escola basica de boa entrada",109247,6.66667,0.35,3,NA,NA,2014,9,0,51,2,NA,NA,51,23,NA,NA,51,23,NA,NA,1,1552,0.0392156862745098,0.450980392156863,0.450980392156863,0.670186756196534,1855.72891237434,11,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","STP","ST",4018,39147,39147,"escola basica de conde",109249,6.7188766,0.3323396,1,NA,NA,2014,9,0,50,0,NA,NA,50,4,NA,NA,50,15,NA,NA,1,1553,0,0.08,0.3,0.335849056603774,0,12,12,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","STP","ST",4018,39147,39147,"escola basica de magodinho",109251,6.7188766,0.3323396,1,NA,NA,2014,12,0,44,0,NA,NA,44,10,NA,NA,44,19,NA,NA,1,1554,0,0.227272727272727,0.431818181818182,0.529198503040698,0,13,13,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","STP","ST",4018,39144,39144,"escola basica de uba budo",109217,6.693943825,0.246023963,3,NA,NA,2014,9,0,50,0,NA,NA,50,8,NA,NA,50,37,NA,NA,1,1525,0,0.16,0.74,0.737358490566038,1464.75939181898,14,14,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","STP","ST",4017,39142,39142,"escola de abade",109273,7.45,1.63333,3,NA,NA,2014,5,0,18,0,NA,NA,18,15,NA,NA,18,14,NA,NA,1,1572,0,0.833333333333333,0.777777777777778,0.908455625436758,3127.10723994492,15,15,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","STP","ST",4017,39142,39142,"escola de nova estrela",109275,7.4057024,1.6139012,1,NA,NA,2014,10,0,50,0,NA,NA,50,43,NA,NA,50,37,NA,NA,1,1573,0,0.86,0.74,0.909056603773585,2930.79437294682,16,16,16,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","STP","ST",4018,39145,39145,"escola de porto alegre",109226,6.5143087,0.2416603,1,NA,NA,2014,9,0,50,2,NA,NA,50,0,NA,NA,50,43,NA,NA,1,1532,0.04,0,0.86,0.816603773584906,8500.70528861773,17,17,17,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","STP","ST",4017,39142,39142,"escola de praia nhame",109279,6.706043838,0.320491075,4,NA,NA,2014,12,0,30,0,NA,NA,30,23,NA,NA,30,21,NA,NA,1,1575,0,0.766666666666667,0.7,0.877358490566038,1944.34040775456,18,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","STP","ST",4018,39144,39144,"basica de anselmo andrade",109211,6.6897102,0.2335656,1,NA,NA,2014,8,0,25,0,NA,NA,24,1,NA,NA,25,16,NA,NA,1,1522,0,0.0416666666666666,0.64,0.617924528301887,1464.75939181898,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","STP","ST",4018,39146,39146,"escola de ribeira funda",109238,6.58333,0.36667,3,NA,NA,2014,10,0,24,0,NA,NA,24,0,NA,NA,24,11,NA,NA,1,1544,0,0,0.458333333333333,0.432389937106918,4002.9430442961,19,19,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","STP","ST",4017,39142,39142,"escola januario graca",109285,6.638628,0.300833,1,NA,NA,2014,12,0,30,4,NA,NA,30,26,NA,NA,30,27,NA,NA,1,1578,0.133333333333333,0.866666666666667,0.9,0.932494758909853,4778.24069695312,20,20,20,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","STP","ST",4017,39142,39142,"escola paula lavres",109287,7.4227952,1.6403285,3,NA,NA,2014,8,0,50,1,NA,NA,50,32,NA,NA,50,28,NA,NA,1,1579,0.02,0.64,0.56,0.796950943396227,649.829474269547,21,21,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","STP","ST",4017,39142,39142,"escola secundaria santo antonio",109289,7.41783,1.63726,1,NA,NA,2014,10,0,50,2,NA,NA,50,37,NA,NA,50,34,NA,NA,1,1580,0.04,0.74,0.68,0.868045283018868,649.829474269547,22,22,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","STP","ST",4018,39147,39147,"integrada de mourro peixe",109255,6.6387592,0.405364,1,NA,NA,2014,10,0,50,0,NA,NA,50,0,NA,NA,50,16,NA,NA,1,1556,0,0,0.32,0.30188679245283,2767.36119303067,23,23,23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","STP","ST",4018,39144,39144,"primaria de mendes da silva",109221,6.689376,0.2201725,1,NA,NA,2014,7,0,25,1,NA,NA,25,12,NA,NA,25,20,NA,NA,1,1527,0.04,0.48,0.8,0.849207547169811,1491.38885305093,24,24,24,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","STP","ST",4018,39147,39147,"secundaria basica de guadalupe",109257,6.6384252,0.3805072,1,NA,NA,2014,10,0,51,5,NA,NA,51,39,NA,NA,51,34,NA,NA,1,1557,0.0980392156862745,0.764705882352941,0.666666666666667,0.876658469529136,2767.36119303067,25,25,25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","STP","ST",4018,39143,39143,"basica de boa morte",109205,6.7174652,0.3400317,1,NA,NA,2014,6,0,50,4,NA,NA,50,34,NA,NA,50,28,NA,NA,1,1517,0.08,0.68,0.56,0.821192452830189,870.590228649504,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
